Timestamp,Date,Measure,Strategy PP Variable xStock,Tesla xStock,CRCLx xStock,NVIDIA xStock,Alphabet xStock,SP500 xStock,MicroStrategy xStock,Nasdaq xStock,Gold xStock,Robinhood xStock,Apple xStock,Amazon xStock,Coinbase xStock,Meta xStock,Microsoft xStock,Intel xStock,McDonald's xStock,Chevron xStock,Berkshire Hathaway xStock,Oracle xStock,Novo Nordisk xStock,Procter & Gamble xStock,Eli Lilly xStock,Coca-Cola xStock,Gamestop xStock,Marvell xStock,Johnson & Johnson xStock,Broadcom xStock,Pfizer xStock,Bank of America xStock,JPMorgan Chase xStock,Merck xStock,AbbVie xStock,Mastercard xStock,Danaher xStock,Abbott xStock,PepsiCo xStock,Netflix xStock,Home Depot xStock,Medtronic xStock,Linde xStock,Comcast xStock,AMD xStock,S&P Small-Cap xStock,BitMine xStock,Goldman Sachs xStock,CrowdStrike xStock,Russell 2000 xStock,DFDV xStock,Core MSCI Emerging Markets xStock,All Others (34 Items)
1686787200000,2023-06-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111875
1686873600000,2023-06-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116585
1686960000000,2023-06-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116585
1687046400000,2023-06-18,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116585
1687132800000,2023-06-19,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116585
1687219200000,2023-06-20,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115015
1687305600000,2023-06-21,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114450
1687392000000,2023-06-22,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111215
1687478400000,2023-06-23,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117985
1687564800000,2023-06-24,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117985
1687651200000,2023-06-25,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117985
1687737600000,2023-06-26,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119750
1687824000000,2023-06-27,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154295
1687910400000,2023-06-28,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161805
1687996800000,2023-06-29,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164745
1688083200000,2023-06-30,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177225
1688169600000,2023-07-01,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177225
1688256000000,2023-07-02,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177225
1688342400000,2023-07-03,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207755
1688428800000,2023-07-04,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207755
1688515200000,2023-07-05,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204465
1688601600000,2023-07-06,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191290
1688688000000,2023-07-07,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198520
1688774400000,2023-07-08,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198520
1688860800000,2023-07-09,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198520
1688947200000,2023-07-10,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205295
1689033600000,2023-07-11,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234285
1689120000000,2023-07-12,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229845
1689206400000,2023-07-13,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315800
1689292800000,2023-07-14,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304345
1689379200000,2023-07-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304345
1689465600000,2023-07-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304345
1689552000000,2023-07-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312645
