date,product_or_platform,workflow_type,chain_or_venue,volume_metric_type,volume_usd,volume_tokens,active_user_metric_type,active_user_count,observation_domain,source,include_in_figure
2026-05-04,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),39554.370000,39554.370000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-05,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),13126.400000,13126.400000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-06,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),13096.040000,13096.040000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-07,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),13098.680000,13098.680000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-08,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),13037.540000,13037.540000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-09,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),0.000000,0.000000,Daily unique senders,0,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-10,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),0.000000,0.000000,Daily unique senders,0,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-11,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),39098.190000,39098.190000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-12,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),4713033.230000,4713033.230000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-13,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),9466054.784306,9466054.784306,Daily unique senders,4,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-14,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),12018451.700000,12018451.700000,Daily unique senders,3,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-15,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),2019059.250000,2019059.250000,Daily unique senders,3,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-16,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),0.000000,0.000000,Daily unique senders,0,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-17,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),0.000000,0.000000,Daily unique senders,0,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-18,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),5046333.590000,5046333.590000,Daily unique senders,4,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-19,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),263767.000000,263767.000000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-20,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),13779.400000,13779.400000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-21,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),20013759.380000,20013759.380000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-22,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),338336.580000,338336.580000,Daily unique senders,3,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-23,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),0.000000,0.000000,Daily unique senders,0,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-24,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),0.000000,0.000000,Daily unique senders,0,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-25,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),0.000000,0.000000,Daily unique senders,0,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-26,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),6214555.554306,6214555.554306,Daily unique senders,5,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
2026-05-27,BUIDL,Token-level ERC-20 observable activity,Ethereum,Daily ERC-20 transfer volume (USD approx),15723.250000,15723.250000,Daily unique senders,2,Contract=0x7712c34205737192402172409a8f7ccef8aa2aec; Chain=Ethereum; Event=Transfer; Window=daily UTC,publicnode RPC eth_getLogs; timestamp estimated from block distance to latest block,yes
