asset_name,symbol,year_month,transfer_count,unique_senders,unique_receivers,total_volume_tokens,total_volume_usd_approx
Backed bCSPX,bCSPX,2025-12,8,4,7,1.4867,N/A
Backed bCSPX,bCSPX,2026-01,2,2,2,0.02,N/A
Backed bCSPX,bCSPX,2026-02,4,4,4,27.1124,N/A
Backed bCSPX,bCSPX,2026-03,97,12,15,686.7669,N/A
Backed bCSPX,bCSPX,2026-04,211,31,33,1089.0693,N/A
Backed bCSPX,bCSPX,2026-05,65,20,21,135.6123,N/A
Backed bIB01,bIB01,2025-12,1,1,1,0.0,N/A
Backed bIB01,bIB01,2026-03,24,9,9,178.0214,N/A
Backed bIB01,bIB01,2026-04,11,5,5,4.4788,N/A
Backed bIB01,bIB01,2026-05,10,5,5,2.9062,N/A
BlackRock BUIDL,BUIDL,2025-12,582,16,41,44146182.5001,44146182.5
BlackRock BUIDL,BUIDL,2026-01,673,13,41,26769305.38,26769305.38
BlackRock BUIDL,BUIDL,2026-02,618,16,41,14245058.9429,14245058.94
BlackRock BUIDL,BUIDL,2026-03,737,14,38,16412480.53,16412480.53
BlackRock BUIDL,BUIDL,2026-04,547,7,34,65321679.16,65321679.16
BlackRock BUIDL,BUIDL,2026-05,728,11,39,60362045.1086,60362045.11
BlackRock BUIDL,BUIDL,2026-06,66,2,33,63059.86,63059.86
Franklin Templeton BENJI (FOBXX),BENJI,2026-05,3,1,3,3031.9579,3031.96
Maple Finance MPL,MPL,2025-12,278,85,79,9101.357,3762.92
Maple Finance MPL,MPL,2026-01,317,84,82,13202.9508,5458.71
Maple Finance MPL,MPL,2026-02,291,74,65,22153.8099,9159.4
Maple Finance MPL,MPL,2026-03,333,78,62,18633.7943,7704.07
Maple Finance MPL,MPL,2026-04,232,62,52,33224.2781,13736.44
Maple Finance MPL,MPL,2026-05,193,70,64,26827.0274,11091.53
Maple Finance MPL,MPL,2026-06,15,12,12,241.4829,99.84
Ondo OUSG,OUSG,2025-12,35,9,6,605955.1552,N/A
Ondo OUSG,OUSG,2026-01,34,12,7,2525847.3609,N/A
Ondo OUSG,OUSG,2026-02,64,20,12,3767140.3184,N/A
Ondo OUSG,OUSG,2026-03,91,25,16,2479633.3148,N/A
Ondo OUSG,OUSG,2026-04,69,21,11,5053414.8503,N/A
Ondo OUSG,OUSG,2026-05,74,15,16,1679396.2745,N/A
Ondo OUSG,OUSG,2026-06,5,5,4,28095.7602,N/A
Ondo USDY,USDY,2025-12,343,127,148,3690429.5348,4170185.37
Ondo USDY,USDY,2026-01,509,163,189,332586756.509,375823034.86
Ondo USDY,USDY,2026-02,634,136,157,193855495.7402,219056710.19
Ondo USDY,USDY,2026-03,833,178,237,847769816.7066,957979892.88
Ondo USDY,USDY,2026-04,1605,245,310,279848994.0004,316229363.22
Ondo USDY,USDY,2026-05,1930,250,349,1411823956.939,1595361071.34
Ondo USDY,USDY,2026-06,216,61,83,94668144.6432,106975003.45
Paxos Gold,PAXG,2025-12,376437,4135,5570,598212.8818,1962138252.33
Paxos Gold,PAXG,2026-01,626995,4402,6144,2031908.558,6664660070.2
Paxos Gold,PAXG,2026-02,849056,7012,9030,1093323.4778,3586101007.07
Paxos Gold,PAXG,2026-03,866078,5565,7277,1266228.3357,4153228941.23
Paxos Gold,PAXG,2026-04,309633,3984,4941,302898.6262,993507493.99
Paxos Gold,PAXG,2026-05,200222,3951,4832,227913.8564,747557448.95
Superstate USTB,USTB,2025-12,998,30,34,72823072.0846,N/A
Superstate USTB,USTB,2026-01,1269,36,36,45310886.4568,N/A
Superstate USTB,USTB,2026-02,2181,40,37,95622139.3401,N/A
Superstate USTB,USTB,2026-03,1951,42,47,111290123.8051,N/A
Superstate USTB,USTB,2026-04,1022,35,35,130791773.3373,N/A
Superstate USTB,USTB,2026-05,1416,41,38,146132361.7807,N/A
Superstate USTB,USTB,2026-06,136,17,16,11169771.8951,N/A
Tether Gold,XAUT,2025-12,119720,3297,4124,264777.9712,864500076.09
Tether Gold,XAUT,2026-01,272040,8126,9351,793406.1298,2590471013.69
Tether Gold,XAUT,2026-02,674367,9254,11661,3745948.9377,12230523281.51
Tether Gold,XAUT,2026-03,551583,4886,6483,2035511.9701,6645946582.45
Tether Gold,XAUT,2026-04,121471,5001,6245,440987.135,1439822995.8
Tether Gold,XAUT,2026-05,128334,5083,6136,796586.4345,2600854708.5
TrueFi TRU,TRU,2025-12,3889,424,557,1420708398.4614,1258733.43
TrueFi TRU,TRU,2026-01,2619,518,596,516836669.7401,457912.12
TrueFi TRU,TRU,2026-02,2161,484,513,1005402279.2203,890776.37
TrueFi TRU,TRU,2026-03,3759,436,588,1751221115.7955,1551564.4
TrueFi TRU,TRU,2026-04,23725,2337,3640,9461776767.0182,8383039.6
TrueFi TRU,TRU,2026-05,11547,1979,3338,4547106390.3445,4028690.79
TrueFi TRU,TRU,2026-06,547,106,178,338234765.3183,299672.62
